Sample,Prevotellaceae_NK3B31_group,Olsenella,Candidatus_Tenderia,Candidatus_Arthromitus,Pygmaiobacter,Howardella,Muribaculaceae,Lachnospira,Anaerovorax,Sericytochromatia,Pseudoflavonifractor,CHKCI002,CAG-352,RF39,Clostridia_UCG_014,Anaerococcus,Clostridium_methylpentosum_group,Collinsella,Dorea,Ruminococcus_gauvreauii_group
PYM001,5.45,-1.08,-1.084577,3.58,-1.08,-1.08,8.08,6.45,-1.08,-1.08,-1.08,-1.08,-1.08,0.138,6.22,-1.08,-1.08,4.16,5.02,2.9
PYM107,5.9,1.56,-1.045509,2.84,-1.05,-1.05,8.21,5.76,-1.05,-1.05,-1.05,-1.05,-1.05,0.753,5.65,-1.05,-1.05,3.76,4.61,-1.05
PYM111,6.34,-1.15,-1.1542255,3.03,-1.15,1.85,8.68,6.06,-1.15,-1.15,-1.15,-1.15,3.76,-1.15,5.8,-1.15,-1.15,2.24,3.32,-1.15
PYM112,7.86,3,-1.1342091,2.32,-1.13,2.41,8.81,5.09,-1.13,-1.13,-1.13,-1.13,3,-1.13,5.93,-1.13,-1.13,5.69,4.76,-1.13
PYM113,4.35,-1.26,-1.2554412,3.7,-1.26,1.89,7.39,5.46,-1.26,-1.26,2.22,-1.26,5.97,-1.26,7.64,0.442,0.442,4.41,5.01,-1.26
PYM202,6.46,-1.1495814,-1.1495814,2.48,-1.15,1.68,6.19,5.93,-1.15,-1.15,-1.15,-1.15,4.72,2.95,7.54,-1.15,2.2,3.64,4.46,2.11
PYM203,4.71,-1.1681224,-1.1681224,1.38,-1.17,-1.17,7.18,6.01,-1.17,-1.17,-1.17,-1.17,4.87,0.758,6.97,-1.17,-1.17,3.38,4.02,2.7
PYM205,4.29,2.2443413,-1.1738154,2.52,-1.17,-1.17,7.76,5.03,-1.17,-1.17,2.39,-1.17,4.48,0.0673,6.87,-1.17,1.21,2.79,3.23,1.97
PYM209,7.08,-1.1073283,-1.1073283,2.54,-1.11,-1.11,7,5.72,-1.11,-1.11,-1.11,-1.11,4.82,0.0579,6.7,-1.11,-1.11,3.77,4.5,-1.11
PYM301,6.02,1.5227232,-1.1623771,1.91,0.896,2.4,7.24,5.46,-1.16,-1.16,-1.16,-1.16,4.85,-1.16,7.7,-1.16,1.35,4.75,4.55,-1.16
PYM303,3.35,3.123473,-1.2329594,3.12,-1.23,-1.23,7.89,6.11,-1.23,-1.23,-1.23,-1.23,4.43,1.36,7.94,-1.23,2.11,3.76,4.64,2.69
PYM308,5.31,-1.6890099,-1.6890099,-1.69,-1.69,-1.69,5.08,5.56,-1.69,-1.69,-1.69,1.73,3.81,-1.69,5.91,4.03,5.06,3.65,4.95,3.06
PYM309,-1.16,-1.1589995,-1.1589995,2.9,-1.16,-1.16,6.28,5.99,-1.16,-1.16,-1.16,-1.16,6.45,-1.16,7.57,-1.16,2.23,3.88,5.04,2.53
PYM407,3.66,-1.6645868,-1.6645868,-1.66,-1.66,-1.66,4.85,5.3,3.22,-1.66,-1.66,-1.66,3.08,-1.66,4.88,4.1,2.39,3.61,3.61,1.97
PYM411,5.52,-1.2094292,-1.2094292,-1.21,-1.21,-1.21,4.75,7.36,-1.21,-1.21,-1.21,-1.21,1.77,0.429,8.2,-1.21,1.39,3.7,4.92,4.3
PYM412,1.62,-1.1030759,-1.1030759,-1.1,4.59,-1.1,3.64,7.65,-1.1,-1.1,-1.1,-1.1,6.64,-1.1,6.57,-1.1,-1.1,3.64,4.25,2.28
PYM414,3,-1.2035142,-1.2035142,-1.2,3.57,-1.2,5.67,7.04,-1.2,-1.2,1.17,-1.2,1.55,-1.2,5.91,-1.2,-1.2,4.79,4.46,-1.2
PYM502,2.83,1.8633456,-1.308615,-1.31,3.84,2.58,5.46,7.14,-1.31,-1.31,1.38,-1.31,1.95,0.753,8.24,-1.31,2.04,4.71,5.1,-1.31
PYM504,3.16,-1.1523358,-1.1523358,-1.15,3.99,-1.15,5.2,7.03,-1.15,-1.15,3.51,-1.15,2.73,0.596,6.86,-1.15,-1.15,4.56,4.92,-1.15
PYM507,4.84,-1.8024759,1.3317793,-1.8,-1.8,0.681,7.21,4.93,-1.8,3.26,-1.8,-1.8,3.18,-0.482,6.6,-1.8,2.36,2.36,3.96,2.48
PYM508,3.27,1.274119,-1.1549408,-1.15,3.49,-1.15,7.38,6.98,-1.15,-1.15,1.8,-1.15,1.8,1.02,6.84,-1.15,2.03,4.08,4.53,-1.15
PYM509,6.41,-1.0940227,-1.0940227,-1.09,3.73,2.11,8.15,6.96,-1.09,-1.09,0.737,-1.09,2,1.55,6.31,-1.09,1.72,3.57,4.99,3.1
PYM511,3.07,-1.140859,-1.140859,-1.14,6.53,-1.14,4.78,9.9,-1.14,-1.14,-1.14,-1.14,6.77,-1.14,6.56,-1.14,-1.14,3.83,3.9,-1.14
PYM513,5.23,1.0654048,-1.2307978,-1.23,3.95,2.17,6.79,7.04,-1.23,-1.23,2.64,-1.23,2.09,1.07,7.75,-1.23,2.59,4.97,5.33,2.54
PYM604,2.67,-1.2241512,-1.2241512,1.61,-1.22,1.95,8.25,5.82,-1.22,-1.22,-1.22,-1.22,-1.22,1.1,6.4,-1.22,-1.22,4.27,4.75,-1.22
PYM609,-0.888,-0.8883594,-0.8883594,-0.888,-0.888,2.17,-0.888,6.37,-0.888,-0.888,-0.888,-0.888,-0.888,-0.888,6.34,-0.888,-0.888,4.44,4.95,3.32
PYM613,5.92,-1.0709425,-1.0709425,2.44,-1.07,-1.07,7.3,6.8,-1.07,-1.07,-1.07,-1.07,1.4,-1.07,6.48,-1.07,-1.07,4.02,4.52,2.94
PYM000,-0.877,-0.877,-0.8773224,1.72,-0.877,-0.877,6.91,6.29,-0.877,-0.877,-0.877,-0.877,5.14,-0.877,5.02,-0.877,-0.877,4.55,4.91,-0.877
PYM101,-0.804,-0.804,-0.804168,-0.804,-0.804,-0.804,3.38,4.96,-0.804,-0.804,-0.804,-0.804,5.29,-0.804,5.25,-0.804,1.6,4.27,3.8,-0.804
PYM102,-0.965,1.6,-0.9654657,-0.965,-0.965,-0.965,4.16,5.87,-0.965,-0.965,-0.965,-0.965,5.51,-0.965,6.21,-0.965,1.91,4.23,4.7,2.77
PYM103,-0.834,-0.834,-0.8336249,-0.834,-0.834,-0.834,5.42,3.39,-0.834,-0.834,1.33,-0.834,6.46,-0.834,3.93,-0.834,-0.834,4.57,4.75,-0.834
PYM104,-1.01,-0.101,-1.0110678,-1.01,-1.01,3.17,4.21,4.18,-1.01,-1.01,-1.01,-1.01,7.93,-1.01,7.94,-1.01,4.22,6.28,5.92,3.59
PYM110,4.77,1.16,-1.161502,2.41,-1.16,1.68,8.44,6.22,-1.16,-1.16,-1.16,-1.16,1.16,0.905,6.18,-1.16,-1.16,4.35,4.77,3.4
PYM201,5.52,-1.22,-1.2245133,2.97,-1.22,-1.22,7.03,5.84,-1.22,-1.22,-1.22,-1.22,5.19,0.569,8.46,-1.22,-1.22,3.8,4.47,3.44
PYM204,4.8,-1.2811314,-1.2811314,0.801,-1.28,1.7,7.15,5.34,-1.28,-1.28,-1.28,-1.28,4.77,3.32,9.08,-1.28,-1.28,5.06,5.09,2.63
PYM208,4.35,-1.1960907,-1.1960907,3.4,-1.2,-1.2,6.23,6.21,-1.2,-1.2,-1.2,-1.2,6.2,0.538,8.43,-1.2,-1.2,4.29,4.56,2.72
PYM210,4.74,-1.1397198,-1.1397198,2.33,-1.14,1.29,6.82,5.82,-1.14,-1.14,-1.14,-1.14,4.39,-1.14,6.6,1.29,-1.14,5.6,5.61,3.99
PYM211,5.33,-1.1304348,-1.1304348,2.12,-1.13,1.3,7.64,6.22,-1.13,-1.13,-1.13,-1.13,4.63,1.3,6.7,-1.13,-1.13,3.78,4.32,-1.13
PYM302,-1.14,-1.1396291,-1.1396291,3.79,-1.14,0.95,7.06,5.46,-1.14,-1.14,-1.14,-1.14,4.9,-1.14,6.21,-1.14,-1.14,2.46,5.84,-1.14
PYM305,-1.1,-1.1049587,-1.1049587,1.59,-1.1,-1.1,7.05,5.92,-1.1,-1.1,-1.1,-1.1,3.98,0.774,6.43,-1.1,-1.1,2.43,4.42,3.66
PYM306,2.82,-1.2221507,-1.2221507,1.32,-1.22,1.49,7.15,5.89,-1.22,-1.22,-1.22,-1.22,4.2,1.11,7.59,-1.22,2.43,4.21,5.41,4.26
PYM310,4.41,2.0935087,-1.2323973,2.27,-1.23,-1.23,6.53,5.27,-1.23,-1.23,-1.23,-1.23,3.67,-1.23,5.94,-1.23,2.49,4.61,5.75,-1.23
PYM311,8.61,-0.9437797,-0.9437797,-0.944,-0.944,-0.944,3.97,6.51,-0.944,-0.944,-0.944,-0.944,6.7,-0.944,5.87,-0.944,2.02,3.99,5.12,3.08
PYM402,0.876,-1.0698241,-1.0698241,-1.07,-1.07,-1.07,5.19,5.87,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,6.38,-1.07,-1.07,4.21,4.19,-1.07
PYM403,-1.15,-1.1454951,-1.1454951,1.79,-1.15,-1.15,6.86,5.85,-1.15,-1.15,-1.15,0.893,-1.15,-1.15,6.41,-1.15,-1.15,4.47,4.99,2.09
PYM404,3.64,1.4243912,-1.2134469,-1.21,-1.21,1.69,5.18,6.53,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,6.99,-1.21,-1.21,5.04,5.69,2.53
PYM405,0.64,-1.1421979,-1.1421979,-1.14,-1.14,-1.14,4.7,6.01,-1.14,-1.14,-1.14,-1.14,3.62,-1.14,6.43,-1.14,-1.14,4.19,4.96,-1.14
PYM406,1.81,2.471781,-1.1222557,-1.12,-1.12,-1.12,5.56,5.96,-1.12,-1.12,-1.12,-1.12,-1.12,2.19,7.99,-1.12,-1.12,4.34,5.03,2.78
PYM408,3.42,-1.6665708,1.3372846,-1.67,-1.67,1.58,5.44,5.44,-1.67,-1.67,-1.67,-1.67,4.95,-0.348,6.22,4.04,2.35,3.42,4.95,-1.67
PYM410,3.75,-0.982221,-0.982221,-0.982,-0.982,1.09,5.53,7.12,-0.982,-0.982,2.45,-0.982,-0.982,1.09,6.05,-0.982,-0.982,3.42,5.01,2.82
PYM413,5.27,-1.184686,-1.184686,-1.18,-1.18,-1.18,4.87,6.35,-1.18,-1.18,2.73,-1.18,-1.18,1.15,7.99,-1.18,2.01,4.11,5.13,-1.18
PYM501,3.33,1.6608065,-1.2729202,1.9,3.74,1.35,6.97,6.68,-1.27,-1.27,-1.27,-1.27,1.52,1.52,5.87,-1.27,-1.27,6.22,4.84,-1.27
PYM503,3.28,-1.2904714,-1.2904714,-1.29,3.76,1.69,5.04,6.78,-1.29,-1.29,1.93,-1.29,3.82,2.42,6.89,-1.29,-1.29,4.55,4.95,-1.29
PYM506,3.29,-1.389876,-1.389876,-1.39,-1.39,-1.39,4.4,6.25,-1.39,-1.39,-1.39,-1.39,3.26,-1.39,4.45,4.52,2.49,1.88,3.53,-1.39
PYM601,-0.871,-0.8706367,-0.8706367,-0.871,-0.871,-0.871,-0.871,6.94,-0.871,-0.871,-0.871,-0.871,-0.871,-0.871,4.56,-0.871,-0.871,5.06,4.69,3.3
PYM605,3.45,-1.4480443,-1.4480443,-1.45,-1.45,-1.45,5.25,6.16,-1.45,-1.45,-1.45,-1.45,5.16,1.09,6.68,3.65,2.89,3.8,3.81,2.05
PYM607,2.76,-1.7849971,-1.7849971,-1.79,-1.79,-1.79,4.61,5.25,-1.79,-1.79,1.16,-1.79,3.25,0.52,4.82,3.25,2.66,2.33,3.13,3.94
PYM608,2.34,-1.6793831,2.0904342,-1.68,-1.68,-1.68,4.27,6.07,-1.68,1.94,-1.68,-1.68,3.29,-1.68,4.51,2.66,1.86,2.87,3.53,2.62
PYM612,3.92,-1.0039572,-1.0039572,1.32,-1,1.07,7.33,6.44,-1,-1,-1,-1,-1,-1,4.92,-1,-1,2.94,4.9,2.85
PYM614,5.01,-1.154069,-1.154069,1.72,4.52,-1.15,6.84,7.45,-1.15,-1.15,-1.15,-1.15,6.52,-1.15,7.38,-1.15,1.96,3.06,3.68,-1.15
